tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt10015234,movie,Tanri göçmen çocuklari sever mi anne?,Tanri göçmen çocuklari sever mi anne?,0,2019,\N,96,Documentary,7.2,6
tt10015248,movie,Kader Postasi,Kader Postasi,0,2019,\N,104,"Drama,Romance",5.8,13
tt10015418,movie,Five Million Dollar Life,Five Million Dollar Life,0,2019,\N,112,Mystery,6.7,27
tt10015432,movie,Forest of the Dead Sharks,Forest of the Dead Sharks,0,2019,\N,50,"Action,Comedy,Horror",8.4,130
tt10015812,movie,Death Whisper,Death Whisper,0,2019,\N,91,Horror,6.6,116
tt10016388,movie,Bastan basa,Bastan basa,0,2019,\N,57,Documentary,7.4,12
tt10016436,movie,Köpek filmi,Köpek filmi,0,2019,\N,60,Documentary,7.1,25
tt10016502,movie,Back from 2038,Back from 2038,0,2019,\N,88,"Comedy,Fantasy",5.8,9
tt10016532,movie,Ispade Rajavum Idhaya Raniyum,Ispade Rajavum Idhaya Raniyum,0,2019,\N,141,"Drama,Romance",6.5,314
tt10017454,movie,The Purple Mist,The Purple Mist,0,2019,\N,106,Drama,6.6,72
tt10017566,movie,Bikers Kental 2,Bikers Kental 2,0,2019,\N,94,Comedy,7.3,87
tt10017680,movie,P Storm,'P' fung bou,0,2019,\N,96,"Action,Crime",5.8,437
tt10017956,movie,Gone Kesh,Gone Kesh,0,2019,\N,110,Drama,7.4,1266
tt10018324,movie,Nuit,Nuit,0,2019,\N,15,Documentary,6.5,6
tt10018386,movie,When the Persimmons Grew,When the Persimmons Grew,0,2019,\N,118,Documentary,6.9,16
tt10019402,movie,Finals,Finals,0,2019,\N,122,"Drama,Sport",7.9,89
tt10020682,movie,Chicago I'm Home,Chicago I'm Home,0,2019,\N,78,Comedy,6.8,12
tt10022384,movie,The Protector,The Protector,0,2019,\N,126,Romance,5.4,239
tt10022990,movie,Seeru,Seeru,0,2020,\N,123,"Action,Drama",5.5,26
tt10023024,movie,Love Aaj Kal,Love Aaj Kal,0,2020,\N,129,Romance,5.5,3168
tt10023080,movie,Nedunalvaadai,Nedunalvaadai,0,2019,\N,120,Drama,7.5,142
tt10023812,movie,67 49 32 Kuzey,67 49 32 Kuzey,0,2019,\N,55,Documentary,9.0,6
